Year(s), URL
(pre-1939), en.wikipedia.org/wiki/List_of_anime_by_release_date_(pre-1939)
1939-1945, en.wikipedia.org/wiki/List_of_anime_by_release_date_(1939-1945)
1946-1959, en.wikipedia.org/wiki/List_of_anime_by_release_date_(1946-1959)
1960, en.wikipedia.org/wiki/1960_in_anime
1961, en.wikipedia.org/wiki/1961_in_anime
1962, en.wikipedia.org/wiki/1962_in_anime
1963, en.wikipedia.org/wiki/1963_in_anime
1964, en.wikipedia.org/wiki/1964_in_anime
1965, en.wikipedia.org/wiki/1965_in_anime
1966, en.wikipedia.org/wiki/1966_in_anime
1967, en.wikipedia.org/wiki/1967_in_anime
1968, en.wikipedia.org/wiki/1968_in_anime
1969, en.wikipedia.org/wiki/1969_in_anime
1970, en.wikipedia.org/wiki/1970_in_anime
1971, en.wikipedia.org/wiki/1971_in_anime
1972, en.wikipedia.org/wiki/1972_in_anime
1973, en.wikipedia.org/wiki/1973_in_anime
1974, en.wikipedia.org/wiki/1974_in_anime
1975, en.wikipedia.org/wiki/1975_in_anime
1976, en.wikipedia.org/wiki/1976_in_anime
1977, en.wikipedia.org/wiki/1977_in_anime
1978, en.wikipedia.org/wiki/1978_in_anime
1979, en.wikipedia.org/wiki/1979_in_anime
1980, en.wikipedia.org/wiki/1980_in_anime
1981, en.wikipedia.org/wiki/1981_in_anime
1982, en.wikipedia.org/wiki/1982_in_anime
1983, en.wikipedia.org/wiki/1983_in_anime
1984, en.wikipedia.org/wiki/1984_in_anime
1985, en.wikipedia.org/wiki/1985_in_anime
1986, en.wikipedia.org/wiki/1986_in_anime
1987, en.wikipedia.org/wiki/1987_in_anime
1988, en.wikipedia.org/wiki/1988_in_anime
1989, en.wikipedia.org/wiki/1989_in_anime
1990, en.wikipedia.org/wiki/1990_in_anime
1991, en.wikipedia.org/wiki/1991_in_anime
1992, en.wikipedia.org/wiki/1992_in_anime
1993, en.wikipedia.org/wiki/1993_in_anime
1994, en.wikipedia.org/wiki/1994_in_anime
1995, en.wikipedia.org/wiki/1995_in_anime
1996, en.wikipedia.org/wiki/1996_in_anime
1997, en.wikipedia.org/wiki/1997_in_anime
1998, en.wikipedia.org/wiki/1998_in_anime
1999, en.wikipedia.org/wiki/1999_in_anime
2000, en.wikipedia.org/wiki/2000_in_anime
2001, en.wikipedia.org/wiki/2001_in_anime
2002, en.wikipedia.org/wiki/2002_in_anime
2003, en.wikipedia.org/wiki/2003_in_anime
2004, en.wikipedia.org/wiki/2004_in_anime
2005, en.wikipedia.org/wiki/2005_in_anime
2006, en.wikipedia.org/wiki/2006_in_anime
2007, en.wikipedia.org/wiki/2007_in_anime
2008, en.wikipedia.org/wiki/2008_in_anime
2009, en.wikipedia.org/wiki/2009_in_anime
2010, en.wikipedia.org/wiki/2010_in_anime
2011, en.wikipedia.org/wiki/2011_in_anime
2012, en.wikipedia.org/wiki/2012_in_anime
2013, en.wikipedia.org/wiki/2013_in_anime
2014, en.wikipedia.org/wiki/2014_in_anime
2015, en.wikipedia.org/wiki/2015_in_anime
2016, en.wikipedia.org/wiki/2016_in_anime
2017, en.wikipedia.org/wiki/2017_in_anime
2018, en.wikipedia.org/wiki/2018_in_anime
2019, en.wikipedia.org/wiki/2019_in_anime
2020, en.wikipedia.org/wiki/2020_in_anime
2021, en.wikipedia.org/wiki/2021_in_anime
